職缺,公司名稱,公司地址,學歷,科系,薪資,工作內容,擅長工具,其他條件
台北 總公司 全職  後端工程師Backend Engineer,(家樂福)家福股份有限公司,台北市北投區 ,大學以上,資訊工程學類、資訊管理學類、數理統計學類,"月薪　50,000元以上 ","
                        1. Analyze, design, implement, test and deploy new product features/enhancements by coworking with product managers, designers and app developers.2. Perform in-depth design reviews and code reviews3. Identify and address/improve service stability and performance issues.4. Setup, manage and monitor production services running on GCP.5. Conduct early feasibility studies as well as creating product prototypes6. Work efficiently/independently and keep communicating with colleagues and supervisors7. Health check api status from APIGee.
", ,"
                        - 3+ years of experiences developing server-side software product- Experiences working on commercial services with 70k+ daily users- Experiences designing service architecture with high availability/scalability- Familiar with major features of GCP with hands-on experiences- 擅長工具：至少需擅長三~四項1. PHP with Laravel framework2. Github/GitLab3. Redis4. GCP 5. Docker6. Exp in APIGee-Edge apis7. kubernetes (k8s)8. APP Dynamic (APM)
                        "
軟體工程師（後端）,台灣仕誠國際專利商標事務所,台北市信義區 ,專科以上,數學學類、應用數學學類、其他數學及統計學類,"月薪　35,000元以上 ","
                        【職務說明】1. 程式撰寫/資料庫使用：Python, PHP , MySQL 2. 使用Linux(Ubuntu)系統【技能需求】- 熟悉Python或PHP- 熟悉MySQL-  Linux系統操作與安裝- 良好的程式碼寫作習慣、個性穩定細心、邏輯性佳及溝通能力佳，重團隊合作與服務精神- 面對開發問題，具獨立思考與作業的能力，能夠追蹤程式碼並找出問題點【加分條件】- 熟悉 python 與 Django- 系統日誌查看與追蹤- MySQL、Mongodb 資料庫管理資料維護與效能調校- 熟悉 Git 版本控制
",程式設計：PHP、Python資料庫：MySQL, 
後端開發工程師,原創網路服務股份有限公司,台北市大同區 ,高中以上,不拘,"月薪　36,000 至 100,000元 ","
                        工作內容： 1.使用 C#.NET 開發應用程式 2.配合系統測試及版本控管 3.可使用SQL語法存取MS SQL資料庫 4.具備 Web 系統開發相關經驗尤佳(C#、HTML、JQuery、Javascript)   須具備的特質: 1.遭遇問題能主動尋找協助資源 2.願意溝通與學習
                        ",程式設計：ASP.NET、JAVA、C#資料庫：MS SQL網頁技術：Java Script,"
                        休假制度：週休二日、固定休六日
                        "
軟體高級工程師（後端）,創譽科技有限公司,台北市大安區 ,專科以上,不拘,"月薪　50,000 至 70,000元 ","
                        軟體高級工程師（後端） 1、 具備上述職務說明三年以上的經驗。 2、 具備網站開發、部署經驗優先錄取。 4、 熟悉 MVC 架構 5、 熟悉 Node.js 架構 6、 略懂React.js 架構 7、 熟悉資料庫概念，懂 MySQL 操作。 8、 略懂SSH操作方式，以及 Linux 指令。
                        ",程式設計：jQuery作業系統：LINUX資料庫：MySQL網頁技術：Java Script伺服器及管理：AWS程式設計：Github網頁技術：ReactJS,"
                        熟識Typescript及microservice架構
                        "
後端nodejs工程師(主任/工程師)_汐止_20832,緯創資通股份有限公司,新北市汐止區 ,大學,資訊管理學類、資訊工程學類、電算機相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 熟悉RESTful API與MVC實作經驗，具備NodeJS Web Application開發經驗2. 熟Koa, Express 等 Frameworks3. 具備軟體工程相關技術(Object-oriented ,Design Patterns, Micro Service, UML)4. 熟悉資料庫的設計與使用，包括NoSQL或RMDBS 關聯式資料庫5. 熟悉git或其他原始碼版本控制6. 具備Continuous integration/Continuous Deployment與Agile軟體開發流程的經驗和方法尤佳7. 具備container concept or Cloud computing(AWS/GCP/Azure)的經驗和方法尤佳8. 具備Linux開發環境與佈建設定的經驗和方法尤佳9. 具備撰寫單元測試程式、end-to-end test的經驗和方法尤佳10. 具備TCP/IP , HTTPS/HTTP 等Network 架構設計經驗和方法尤佳11. 熟悉Kafka, Hadoop尤佳
                        ", ,"
                        1. 對程式開發、系統設計有熱情，對自己的未來有期待。2. 我們不侷限於上述程式技能，我們鼓勵並協助大家有多樣性的技能和職務歷練。3. 看到問題會想辦法解決，不設限自己的工作範圍。4. 想要成為團隊中的神隊友；或許現在還不是神隊友沒關係，但你努力往這個方向前進中。5. 喜歡學習而且不將學習到的新知識分享給大家會很難過、痛苦。6. 希望你是個心智上的成年人，能對自律並對結果負責。7. 具冒險精神，我們勇於嘗試各種提案與建議，只要覺得對我們有幫助。8. 嘗試與工作中所有合作夥伴及客戶積極溝通即使過程很辛苦或令人感到挫折。
                        "
C0284 後端開發工程師/主管(外派),仁寶電腦工業股份有限公司,台北市內湖區 ,大學,工業及機械相關、電機電子工程相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 理解MES系統轉型流程，帶領團隊進行系統分析、設計、開發、維護以及測試2. 開發及維護穩定、可信賴的及經過良好測試的應用系統3. 配合生產線進行系統更新級維護，追蹤產品功能修改進度4. 對數據庫進行管理，負責數據庫運維及監控5. 負責MySQL數據庫架構設計與部署6. 跨組別團隊合作，對內部單位溝通協調
                        ", ,"
                        1. 熟悉Node.js2. 熟悉MySQL3. 熟悉Git4. 熟悉生產製造相關系統（例如：MES）佳
                        "
PB0541 AI 後端軟體工程師(內湖),仁寶電腦工業股份有限公司,台北市內湖區 ,大學,資訊工程學類、應用數學學類、電機電子工程相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1.參與AI產品應用軟體開發流程2.與產品團隊和AI團隊進行協作，了解需求並開發AI應用相關的服務3.佈署AI模型於現有的後端服務【職能要求】1. 必備 Python 開發經驗2. 具備 Flask / Django framework 開發經驗3. 具備 RESTFul API 服務開發經驗4. 有Computer Vision AI相關背景知識佳5. 具有python Django 開發經驗6. 具有docker 相關專案開發經驗7. 熟悉 Git 版本控制 符合越多要求者越好，但無需滿足所有要※依學經歷、工作年資敘薪
                        ",程式設計：C、Python、C++,"
                        【加分項目】1.	熟悉 Visual Studio 操作2.	使用 Pytroch 或 Tensorflow或 Caffe framework 訓練/開發 AI模型3.	熟悉 python 資料處理工具 pandas4.	熟悉 語法，有專案開發經驗為佳5.	熟悉 SQLoSQL, 資料庫設計及優化能力6.	熟悉 RESTful API 設計風格7.	熟悉 Nginx uwsgi 操作8.	瞭解 Container 及 K8S 相關部署工具9.	使用 C/C++ 於 Linux BSP/ Embedded system 開發相關經驗10.	有大流量或是高併發系統設計的經驗11.	有一個以上的「不是為了交作業或面試存在的 Side project」
                        "
🙌全端工程師(前端/後端) Full-Stack Developer [定期合約],奇資訊保安及網絡有限公司,台北市中正區 ,大學以上,資訊工程學類,"月薪　40,000 至 100,000元 ","
                        網站，App 及其服務的前端／後端開發，部署，測試，自動化維運。
                        ",程式設計：JAVA、PHP、C#資料庫：MySQL網頁技術：HTML、Java Script、CSS伺服器及管理：AWS程式設計：Github,"
                        - 具微服務 (Micro Services)/無伺服器計算(Serverless)/FaaS(Function as a Service)開發經驗或 Docker/Kubernetes 部署/管理經驗- 具 TypeScript / JavaScript 開發經驗- 具 NodeJS/Deno, ReactJS, React Native 開發經驗 (AngularJS, VUE, NextJS 亦可)- 具 MongoDB (NoSQL) 經驗- 具 HTML 5/CSS 3 開發經驗- 具雲端(AWS/Azure) 整合經驗- 具 C# / Python / Go Lang (Go Modules, Go-Kit & Ent) / Java 開發經驗加分- 具開發自動化測試經驗 (包含單元測試、UI測試、整合測試)- 具 github/gitlab 經驗，並能使用 devops 自動化部署 (CI/CD pipeline)- 熱愛程式設計及解決問題。 願意接受挑戰，嘗試、吸收、使用新技術。由於本公司現有項目有應用以下技術，有以下技能亦可:- Visual FoxPro- Delphi- PHP- C#- MySQL- MSSQL- 如果你沒有以上的經驗，但熱愛程式設計及解決問題。 願意接受挑戰，嘗試、吸收、使用新技術。而且有使用其他程式語言設計網站，有能力閱讀 API 文件，亦可應徵。
                        "
PA0466 醫療系統後端軟體工程師(內湖),仁寶電腦工業股份有限公司,台北市內湖區 ,大學,資訊工程學類、資訊管理學類,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 參與現有醫療軟體系統之後端開發及維護2. 針對新的需求作分析並設計軟體架構及模組3. 與團隊成員共同開發4. 軟體整合測試及效能改善**依學經歷、工作年資敘薪**
                        ", ,"
                        1.至少一年後端軟體開發經驗 2.具備後端開發能力: Java, SQL, RESTful API 3.具備以下工具之使用經驗尤佳: Git, SVN, JIRA或其他版本控管/專案管理工具4.具備醫療系統開發經驗尤佳
                        "
後端開發工程師(智慧製造)_新竹_20332,緯創資通股份有限公司,新竹市東區 ,大學以上,資訊工程學類、資訊管理學類,薪資面議(經常性薪資達4萬元含以上) ,"
                        1.熟悉後端開發工具.2.熟悉Agile與DevOps開發流程.3.支援企業數位轉型暨i4.0專案開發
                        ", ,"
                        1.具備軟體開發/資料庫設計經驗1年以上2.熟悉Java/Python/Node.JS等開發工具3.有RDB與NoSQL(ES,Kudu,MongoDB)使用經驗4.有DevOps實作經驗5. 良好的溝通及團隊協作能力6. 可出差
                        "
後端開發工程師(供應鏈)_新竹_20332,緯創資通股份有限公司,新竹市東區 ,大學以上,資訊工程學類、資訊管理學類,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 協助使用者釐清需求，並對需求進行可行性分析及提供解決方案。2. 負責系統架構、模組設計3. 針對使用者需求，參與後端程式開發。4. 參與團隊新專案開發及系統維護。
                        ", ,"
                        1. 有 Back-End 軟體開發2年以上經驗，有參與中、大型專案經驗為佳。2. 熟悉 Java SprintBoot 開發，有Git實作經驗為佳3. 專精於系統架構規劃4. 良好的溝通和及團隊協作能力5. 有 RDB、Elasticsearch、或 Redis 經驗為佳6. 可出差
                        "
Python後端/架構師_高雄_21017,緯創資通股份有限公司,高雄市苓雅區 ,大學以上,電算機相關、電機電子工程相關、資訊工程學類,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. To develop and deploy applications to customers2. Evaluate applicable tools, software, algorithms, or skills to create best solutions3. Analyze and Solve problems independently4. A good team-player is a must.
                        ",程式設計：Python,"
                        1. 碩士畢業新鮮人，或學士學位且至少有三年工作經驗2. 資工/資管/軟體工程等相關科系畢業尤佳3. 開發軟體後台系統，包含後端，CI/CD，Docker，ORM，Swagger，資料庫系統4. 熟悉Linux與管理指令5. 熟悉軟體叢集架構，例如Master-slave，Cluster (加分)6. 熟悉雲端工具(例如 AZURE 或 AWS)為加分項7. 熟悉Python Flask 或 Django8. 熟悉Nginx 或 Apache
                        "
包裝及製程後端作業員,廣福林有限公司,桃園市八德區 ,無限制,不拘,"月薪　32,000 至 45,000元 ","
                        1. 根據生產程序，將物料或製品裝入容器內，從事產品包裝工作。2. 視生產需求，協助簡易生產相關工作，並協助製具清潔工作。
                        ",辦公室應用：Word、Excel、PowerPoint、Outlook, 
"I201 MyVideo後端API平台開發工程師(JAVA) (高雄,可遠端工作)",台灣大哥大股份有限公司,高雄市三民區 ,無限制,不拘,"月薪　34,000 至 53,000元 ","
                        負責MyVideo 影音平台API及CMS等系統開發【薪資待遇】：月薪34,000元-53,000元，依績效另有豐厚年終獎金與員工紅利。
                        ",程式設計：C、JAVA、Spring資料庫：Oracle網頁技術：HTML、Java Script、CSS,"
                        【基本條件】1. 熟悉Java 程式開發2. 熟悉C語言程式開發3. 熟悉Oracle資料庫運用4. 熟悉HTML5、JavaSCript、CSS等網頁前端技術【加分條件】1. 具 Redis整合應用經驗2. 具 Azure 或 GCP 使用經驗
                        "
智慧醫療Java軟體開發工程師(後端/全端)_汐止/高雄_00000,緯創資通股份有限公司,新北市汐止區 ,專科,資訊工程學類、資訊管理學類,薪資面議(經常性薪資達4萬元含以上) ,"
                        我們專注在高端醫材設計製造與智慧醫療軟體開發，您將與頂尖醫療開發團隊協作開發，打造世界級符合國際標準之醫療解決方案。歡迎對人工智慧、大數據有興趣的新血，有熱忱、不甘平凡且追求卓越的夥伴，加入我們的舞台，共創智慧醫療新未來。工作內容1. 與業務團隊、專案經理協作規劃及開發智慧醫療解決方案2. 後端系統、API規劃與開發3. 撰寫設計開發文件技術技能1. 具多語系開發經驗2. 熟悉版控Git開發管理工具3. 具DB架構設計經驗4. 熟悉SQL語法(PostgreSQL, MySQL)、Java ORM(JPA/Hibernate)使用5. 熟悉Java EE 8, Spring boot框架6. RESTful API 設計/開發經驗7. 串接第三方服務經驗8. 二年以上Java相關開發經驗加分項目1. 有資料科學與人工智慧基礎知識2. 高度適應能力、學習力與應變力3. 有機器學習或深度學習經驗佳4. 有實作過醫療資訊保護法, HIPAA Compliance, NIS, HIS等相關系統加分5. 熟悉FHIR架構6. 熟悉醫療與健康產業為佳7. 微服務使用/設計經驗8. 具雲端服務使用/部署經驗9. 非同步編程
                        ", , 
🙌 軟件開發工程師 (後端) BackEnd Developer/Software Developer [定期合約],奇資訊保安及網絡有限公司,台北市中正區 ,大學以上,資訊工程學類,"月薪　30,000 至 80,000元 ","
                        1.負責軟體之分析、設計以及程式撰寫。2.規劃執行軟體架構及模組之設計，並控管軟體設計進度。3.進行軟體之測試與修改。4.規劃、執行與維護量產的產品。5.協助研發軟體新技術與新工具。
                        ",程式設計：JAVA、PHP、C#資料庫：MySQL網頁技術：Java Script程式設計：Github,"
                        - 具微服務 (Micro Services)/無伺服器計算(Serverless)/FaaS(Function as a Service)開發經驗或 Docker/Kubernetes 部署/管理經驗- 具 TypeScript / JavaScript/NodeJS/Deno/PHP/Java/C#/GoLang (Go Modules, Go-Kit & Ent) 經驗- 具 MongoDB (NoSQL)/Cloud Database 經驗- 具雲端(AWS/Azure) 整合經驗- 具開發自動化測試經驗 (包含單元測試、整合測試)- 具 github/gitlab 經驗，並能使用 DevOps 自動化部署 (CI/CD pipeline)- 熱愛程式設計及解決問題。 願意接受挑戰，嘗試、吸收、使用新技術。由於本公司現有項目有應用以下技術，有以下技能亦可:- Visual FoxPro- Delphi- PHP- C#- MySQL- MSSQL- 如果你沒有以上的經驗，但熱愛程式設計及解決問題。 願意接受挑戰，嘗試、吸收、使用新技術。而且有使用其他程式語言設計網站，有能力閱讀 API 文件，亦可應徵。
                        "
工程師,成正工程有限公司,苗栗縣竹南鎮 ,高中(職),一般求職者,"月薪　40,000元以上 ","
                        1.根據建築內部空間配置狀況，規劃衛浴、廚房、電器插頭、空調等水電線路。2.繪製建築內部水電工程藍圖，精選施工材料。3.指導監督各施工技術人員依水電工程藍圖施工。4.負責維護與裝修廠內配電、各類電機或電子設備。
                        ",輕型機車、普通小型車, 
工程師,成正工程有限公司,苗栗縣竹南鎮 ,高中(職),一般求職者,"月薪　40,000元以上 ","
                        1.根據建築內部空間配置狀況，規劃衛浴、廚房、電器插頭、空調等水電線路。2.繪製建築內部水電工程藍圖，精選施工材料。3.指導監督各施工技術人員依水電工程藍圖施工。4.負責維護與裝修廠內配電、各類電機或電子設備。
                        ",輕型機車、普通小型車, 
工程繪圖,順桐工程行,嘉義縣水上鄉 ,專科以上,3 年以上,"月薪　32,000 至 50,000元 ","
                        1.獨立整合大樓水電消防工程施工圖及圖面整合，須至現場配合繪圖。2.諳AutoCAD及Revit MEP 軟體。3.熟排水系統施工圖繪製尤佳。4.具圖面清算能力尤佳。5.和業主溝通圖面。
                        ",輕型機車、普通小型車, 
工程師,結興建築工程有限公司,台南市仁德區 ,建築學類、土木工程學類、土木學類,不拘,"月薪　25,250 至 38,000元 ","
                        1.工程計價2.負責工程現場的指揮3.測量與放樣4.工程發包並控制成本預算5.檢討與審查工程圖6.監督與評估施工7.追蹤修繕施工的進度，並做好品質管理
                        ", ,"
                        建築土木學系,室內設計,空間設計..等相關科系尤佳
                        "
消防工程師傅,以安工程行,台南市永康區 ,無限制,電機電子工程相關,"日薪　2,000 至 2,500元 ","
                        * 配管、配線、設備安裝* 工作現場管理指揮調度* 有水電、消防或相關經驗者佳
                        ", , 
工程師-防水工程(工務),承隆工程有限公司,高雄市苓雅區 ,無限制,台語→略懂,"月薪　38,000元以上 ","
                        防水、地坪工地工程師（工務）工作內容：1.工程現場管理、施工進度與品質監督。(人員調度、材料管控)2.工地溝通及協調(與上包營造廠主任等協調工作進度安排)。3.依據工程合約，製作請款資料及施工圖說整理。工作待遇：月薪38,000以上(依學經歷調整)工作性質：全職出差外派：工地範圍：台南-屏東（每個案子進場施工時間不同，依照工地進度安排，當天來回）上班時段：日班休假制度：依公司規定福利制度：勞健保、勞退、團險、健康檢查(皆依照勞基法之規範)及開工、績效、年終獎金、尾牙及每1-2月聚餐。應屆生或上班族皆可，需具汽機車駕照，需會使用EXCEL、WORDAUTOCAD(平面2D即可，測量圖面尺寸)-公司會教剛開始會有同事帶著、培訓
                        ",普通小型車, 
土木工程現場工程師,皓浚工程有限公司,台北市內湖區 ,專科以上,土木工程學類,"月薪　40,000元 ","
                        1.指揮並監督工人，以控制工程的執行進度與施工品質。 2.預先檢查分包廠商施工前之準備工作。 3.每日工進日報表填寫。 4.工地現場材料估算
",普通重型機車, 
機械工程師,鍵信工程有限公司,高雄市林園區 ,專科以上,不拘,"月薪　33,000元以上 ","
                        1.機器、工具機、發動機、工業廠房及設備之顧問及設計2.建立管制標準與程序，以確保機器、工具機、發動機、工業廠房、設備之安全及有效運轉3.機器、工具機、發動機、工業廠房及設備維修之指導4.詳細說明與指導生產及安裝方法5.依公司交辦事項
                        ",普通重型機車, 
繪圖工程師,百閎工程行,高雄市左營區 ,高中(職),不拘,薪資面議(經常性薪資達4萬元含以上) ,"
                        大樓、廠房、醫院施工圖及設計圖繪製。機電系統預算編列。
                        ",公共工程品質管理人員, 
土木及水保工程-工程師(設計及監造),四維工程顧問有限公司,宜蘭縣五結鄉 ,高中(職)以上,土木工程學類、其他工程學類、水土保持學類,"月薪　28,000 至 45,000元 ","
                        1.工程規劃與目標管理2.編列工程預算，並控管成本3.勘查現場的地形、地質、氣象、水文等狀況4.土木工程的設計、規劃及建造5.撰寫施工說明書及施工規範等文件6.與業主溝通並了解其需求
                        ",普通小型車,"
                        具有土木及水保工程相關工作經驗者佳及有品管證照者佳
                        "
機電工程師,鍵信工程有限公司,高雄市林園區 ,無限制,不拘,"月薪　33,000元以上 ","
                        電路繪圖、作業材料採購。現場工作安排及支援熟政府規範
                        ",辦公室應用：Word、Excel、PowerPoint、Outlook工程繪圖：AutoCAD, 
工程師,大川工程科技有限公司,新竹市東區 ,無限制,不拘,"月薪　42,000 至 52,000元 ","
                        【薪優/福利佳 配管技術員】週休二日公司承接半導體廠區【管路安裝配置工程】工作職務可學習: 手稿圖繪製、勘查現場、尺寸丈量、半導體設備管路配置、焊接、管路安裝。如果您對於高科技產業配管工程技術學習有興趣者，歡迎加入我們(工作環境秉持安全第一的原則)無經驗者工作內容:1.六小時承攬商職工安全衛生教育2.機工具使用及傳遞物料和各項整理工作3.扶梯作業協助施工者安全4.工作現場安全防護不限學經歷試用期後工作內容:施工現場尺寸丈量＞手稿圖繪製＞管路預置安裝＞焊接組立工作內容:公司承接科學園區 半導體、光電廠的外包廠商，水/氣/化 管路施工工程，依照業主規劃的管路圖配置請務必遵守工地工作及工安規範、共創安全及有效率的工作團隊。不限經驗、不限學歷。加班費週休二日勞保健保意外險員工體檢午餐費
                        ",普通重型機車、普通小型車, 
"土木工程測量,放樣工程師",新士佶工程有限公司,彰化縣員林市 ,無限制,土木工程學類,"月薪　45,000 至 50,000元 ","
                        1.工地現場測量2.配合施工現場進行放樣
",普通小型車, 
工程師,聚祥工程顧問有限公司,台中市西區 , , ,"月薪　30,000元以上 ","
                        1.山坡地開發相關的設施規劃設計與執行2.水土保持計畫專案的執行
                        ",辦公室應用：Word、Excel工程繪圖：AutoCAD、AutoCad 2D, 
工程師,正誼機電工程有限公司,新竹縣竹北市 ,無限制,不拘,"月薪　42,000元以上 ","
                        1. 工程事務協助、執行。2. 工程進度控管。3. 工程規劃及繪圖等相關工作。4. 協助主管處理現場工作之溝通協調。5. 主管交辦之事項。
                        ",普通重型機車、普通小型車, 
現場工程師,世鉯工程行,台北市南港區 , , ,薪資面議(經常性薪資達4萬元含以上) ,"
                        1、工程進度管控，以及下包追蹤管理。  2、工地各項報表執行材料送審等作業。  3、工程核對及現場管理。  4、工地現場負責工程、人員、資源的督導、調度、協商、審核等工作。  5、彙整工程必備文件，聯繫廠商。  6、丈量尺寸、核對圖面資料。  7、具有責任感及能完成具體任務者。  8、有待過土木工程公司或有公共工程管理經驗者尤佳。★ 無經驗可  !! 有經驗月薪面議詳談 !!
", , 
配管工程師/助理工程師,迎創工程有限公司,新竹市東區 ,無限制,不拘,"月薪　37,000 至 50,000元 ","
                        1.依據施工圖，從事氬焊作業2.設定自動焊接程式3.從事零件的焊接或切割4.無經驗可
                        ",輕型機車、普通重型機車、普通小型車, 
工程/水電人員,信一工程行,台南市仁德區 , , ,"月薪　30,000 至 55,000元 ","
                        工作內容：太陽能系統建置及維運說明：☆有無經驗均可，肯學習專業技能者佳☆工作環境於室外，較為日曬★需配合工程離開台南外宿架設跟施工    (外出施工時間：以每案施工狀況及進度)★外出施工：包住宿，另補貼餐費★需無懼高症者☆享有勞健保☆公司另外幫每位員工加保僱主意外責任險☆保障13個月☆全勤獎金3000供午餐費及三節禮金投職者請注意，以上說明都同意，再請先投遞履歷，非誠勿試~
                        ", ,"
                        1.需配合工程離開台南外宿架設跟施工(外出施工時間：以每案施工狀況及維度安排)2.需無懼高症者3.可保勞健保4.可配合加班5.試用日期一個月
                        "
工地工程測量人員,加恩工程行,雲林縣古坑鄉 ,無限制,不拘,"月薪　30,000 至 50,000元 ","
                        (無經驗可)1.測量土地及工地並記錄量度及其他資料。2.配合業主時間進行現場施工放樣、墨線及檢測。3.依公司規定時間休假(原則上會周休排2天/但非固定六日休)4.只負責外業(戶外)工作，沒有招收內業製圖人員5.需有汽車駕照
                        ",輕型機車、普通重型機車、普通小型車、職業小汽車, 
電機工程技術員/工程,星宇電機工程行,高雄市小港區 ,無限制,不拘,"日薪　1,500 至 1,800元 ","
                        1.高低壓電纜線佈置.拉線2.pvc / EMT 配管. 線槽製作.儀電施工3.機台裝置配線與組裝5.協助執行其他電機設備相關業務
                        ", , 
繪圖工程師,新士佶工程有限公司,彰化縣員林市 ,專科以上,土木工程學類、光電工程學類、電機電子工程相關,"月薪　30,000元以上 ","
                        熟AutoCAD軟體2.工地現堪後電腦繪圖說明3.具太陽光電發電系統經驗佳4.規劃及設計土木工程結構
",普通小型車, 
工程師,馬來西亞商科藝工程有限公司台灣分公司,台南市南市全區 ,無限制,電機電子工程相關、機械工程學類,"月薪　30,000 至 40,000元 ","
                        工地監工
                        ",普通重型機車、普通小型車, 
現場工程師,世鉯工程行,新北市新莊區 , , ,薪資面議(經常性薪資達4萬元含以上) ,"
                        1、工程進度管控，以及下包追蹤管理。  2、工地各項報表執行材料送審等作業。  3、工程核對及現場管理。  4、工地現場負責工程、人員、資源的督導、調度、協商、審核等工作。  5、彙整工程必備文件，聯繫廠商。  6、丈量尺寸、核對圖面資料。  7、具有責任感及能完成具體任務者。  8、有待過土木工程公司或有公共工程管理經驗者尤佳。★ 無經驗可  !! 有經驗月薪面議詳談 !!
", , 
助理工程師,翰陞工程有限公司,高雄市苓雅區 ,專科以上,土木工程學類、建築學類,"月薪　28,000 至 40,000元 ","
                        1. 熟悉AutoCAD，繪製結構設計圖說或相關指派繪圖工作。 2. 輔助結構設計師之事務。 3. 主管交辦之工作事項。 4. 土木結構相關文書處理及鑑定報告文書協助。 5.每天工作7小時 , 每周35小時, 歡迎工作效率佳能力好的夥伴。
                        ",辦公室應用：Word、Excel、PowerPoint、Adobe Acrobat工程繪圖：AutoCAD, 
